H,R_analytic,R_byte,R_reserve,R_reserve_total,accepted,blocks,ctx,draft,invalid,kind,new_tokens,rejected,req
0,0.0007295719844357977,0.0,,,3,,4112,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007288629737609329,0.0,,,3,,4116,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007281553398058253,0.0,,,3,,4120,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007274490785645005,0.0,,,3,,4124,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007272727272727272,0.0007272727272727272,,,0,,4125,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007270964614638875,0.0007270964614638875,,,0,,4126,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000726920281075842,0.000726920281075842,,,0,,4127,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007263922518159806,0.00024213075060532688,,,2,,4130,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007262164124909223,0.0007262164124909223,,,0,,4131,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007260406582768635,0.0007260406582768635,,,0,,4132,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007253384912959381,0.0,,,3,,4136,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007249879168680521,0.0004833252779120348,,,1,,4138,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007246376811594203,0.0004830917874396135,,,1,,4140,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000724112961622013,0.0002413709872073377,,,2,,4143,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007239382239382239,0.0007239382239382239,,,0,,4144,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000723589001447178,0.000482392667631452,,,1,,4146,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007232401157184186,0.00048216007714561236,,,1,,4148,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000722543352601156,0.0,,,3,,4152,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007218479307025986,0.0,,,3,,4156,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007216742843396681,0.0007216742843396681,,,0,,4157,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000721327242125511,0.00048088482808367395,,,1,,4159,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007211538461538462,0.0007211538461538462,,,0,,4160,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000720634158059092,0.00024021138601969732,,,2,,4163,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007202881152460984,0.0004801920768307323,,,1,,4165,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007201152184349496,0.0007201152184349496,,,0,,4166,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007194244604316547,0.0,,,3,,4170,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007187350263536176,0.0,,,3,,4174,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007180469123982767,0.0,,,3,,4178,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007175316909830184,0.00023917723032767282,,,2,,4181,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007173601147776184,0.0007173601147776184,,,0,,4182,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007171886206072197,0.0007171886206072197,,,0,,4183,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007170172084130019,0.0007170172084130019,,,0,,4184,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000716674629718108,0.00047778308647873863,,,1,,4186,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007163323782234957,0.0004775549188156638,,,1,,4188,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007161613750298401,0.0007161613750298401,,,0,,4189,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007158196134574087,0.0004772130756382725,,,1,,4191,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007154781779155736,0.0004769854519437157,,,1,,4193,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007149666348903718,0.00023832221163012392,,,2,,4196,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007147962830593281,0.0007147962830593281,,,0,,4197,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007144558228149559,0.0004763038818766373,,,1,,4199,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007137758743754461,0.0,,,3,,4203,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007136060894386299,0.0007136060894386299,,,0,,4204,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007129277566539924,0.0,,,3,,4208,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007122507122507123,0.0,,,3,,4212,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007120816520294327,0.0007120816520294327,,,0,,4213,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007114062129475931,0.0,,,3,,4217,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007109004739336493,0.00023696682464454977,,,2,,4220,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007103954534690978,0.00023679848448969926,,,2,,4223,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000709891150023663,0.000236630383341221,,,2,,4226,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007095553453169347,0.0004730368968779565,,,1,,4228,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007090522335145356,0.0002363507445048452,,,2,,4231,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007088846880907373,0.0007088846880907373,,,0,,4232,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007087172218284905,0.0007087172218284905,,,0,,4233,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007080481472740147,0.0,,,3,,4237,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007073803348266918,0.0,,,3,,4241,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000706880301602262,0.000235626767200754,,,2,,4244,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000706547338671691,0.0004710315591144607,,,1,,4246,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007063809748057452,0.0007063809748057452,,,0,,4247,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007062146892655367,0.0007062146892655367,,,0,,4248,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007055503292568204,0.0,,,3,,4252,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007052186177715092,0.0004701457451810061,,,1,,4254,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007048872180451127,0.00046992481203007516,,,1,,4256,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007045561296383278,0.0004697040864255519,,,1,,4258,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000704390702042733,0.000704390702042733,,,0,,4259,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007037297677691766,0.0,,,3,,4263,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007030700726505742,0.0,,,3,,4267,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007029053420805998,0.0007029053420805998,,,0,,4268,3,0,spec,,3,cmpl-bench-a2796d5e-0-0-a061f883
0,0.000702576112412178,0.000468384074941452,,,1,,4270,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007020828457758015,0.0002340276152586005,,,2,,4273,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007017543859649122,0.00046783625730994154,,,1,,4275,3,0,spec,,2,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007010983874737088,0.0,,,3,,4279,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0007006071929005138,0.00023353573096683791,,,2,,4282,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0006999533364442371,0.0,,,3,,4286,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0006993006993006993,0.0,,,3,,4290,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0006986492780624127,0.0,,,3,,4294,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0006981615080288574,0.00023272050267628578,,,2,,4297,3,0,spec,,1,cmpl-bench-a2796d5e-0-0-a061f883
0,0.0006975122064636131,0.0,,,3,,4301,3,0,spec,,0,cmpl-bench-a2796d5e-0-0-a061f883
